ID,В стоп-л,Email польз.,Email VK,Email Yandex,Email Google,Email OK,Email Twitter,Email FB,ID пользователя,Дата рождения,Кол-во транзакций,Накоп. сумма,Посл. пожер.
357,Нет,Есть,-,-,-,-,-,-,6260,1990-01-02,2,400.00,03.11.2022 02:02:12
356,Нет,Есть,-,-,-,-,-,-,165598,1982-03-09,1,500.00,03.11.2022 03:29:33
355,Да,Есть,-,-,-,-,-,-,209758,1984-04-22,1,100.00,03.11.2022 07:42:10
354,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,300.00,03.11.2022 14:27:14
353,Нет,Есть,-,-,-,-,-,-,120675,1994-05-07,1,500.00,03.11.2022 16:22:04
352,Нет,Есть,-,-,Есть,-,-,-,205376,Не указано,1,100.00,04.11.2022 23:01:42
351,Нет,Есть,-,-,-,-,-,-,53912,1976-02-13,1,500.00,05.11.2022 02:52:05
350,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,13.00,05.11.2022 04:47:22
349,Нет,Есть,-,Есть,Есть,-,-,-,121704,1973-04-16,1,50.00,05.11.2022 15:19:28
348,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,500.00,13.11.2022 03:05:40
347,Нет,Есть,-,Есть,Есть,-,-,-,236837,1988-12-10,1,500.00,20.11.2022 13:27:27
346,Нет,Есть,-,-,Есть,-,-,-,168697,Не указано,1,10.00,23.11.2022 20:44:32
345,Нет,Есть,-,Есть,-,-,-,-,234111,1980-02-28,2,600.00,02.12.2022 13:34:05
344,Нет,-,-,-,-,-,-,-,Не указано,Не указано,8,500.00,18.12.2022 20:07:27
343,Нет,-,-,-,-,-,-,-,Не указано,Не указано,4,4000.00,24.12.2022 21:30:02
342,Нет,Есть,-,-,-,-,-,-,149731,1998-02-27,5,200.00,25.12.2022 19:06:32
341,Нет,Есть,-,-,-,-,-,-,204119,1990-01-08,1,50.00,27.12.2022 18:49:11
340,Да,Есть,-,-,-,-,-,-,156017,1985-03-01,1,1000.00,27.12.2022 19:59:34
339,Нет,Есть,Есть,Есть,-,-,-,-,142633,1987-01-18,1,300.00,30.12.2022 22:25:25
338,Нет,Есть,-,-,-,-,-,-,204490,1988-09-17,1,300.00,30.12.2022 22:30:00
337,Нет,Есть,-,-,-,-,-,-,155559,Не указано,2,400.00,30.12.2022 23:06:02
336,Да,Есть,-,-,-,-,-,-,182854,1975-01-14,1,500.00,30.12.2022 23:14:52
335,Нет,-,-,-,-,-,-,-,Не указано,Не указано,1,100.00,30.12.2022 23:36:55
334,Нет,Есть,-,-,-,-,-,-,204809,1994-02-02,2,1500.00,31.12.2023 21:09:07
333,Нет,Есть,-,-,-,-,-,-,214881,1998-09-29,1,300.00,31.12.2022 00:12:09
332,Нет,Есть,-,-,-,-,-,-,122513,1987-06-17,4,3010.00,13.05.2024 16:15:54
331,Нет,Есть,-,-,Есть,-,-,-,148013,2000-01-04,1,100.00,31.12.2022 04:49:22
330,Нет,Есть,-,-,-,-,-,-,210630,1986-07-22,1,200.00,31.12.2022 10:11:31
329,Нет,Есть,-,-,Есть,-,-,-,184144,1990-05-31,3,1600.00,20.04.2024 08:49:16
328,Нет,Есть,-,Есть,-,-,-,-,136887,1993-03-05,2,300.00,31.12.2022 16:47:34
327,Нет,Есть,-,-,Есть,-,-,-,228894,1980-02-21,1,100.00,31.12.2022 16:53:19
326,Да,Есть,-,-,-,-,-,-,193128,1984-01-30,1,1000.00,01.01.2023 20:54:30
325,Нет,-,-,-,-,-,-,-,Не указано,Не указано,4,600.00,03.01.2023 11:45:24
324,Нет,Есть,Есть,-,-,-,-,-,159361,1980-06-18,1,300.00,12.01.2023 23:35:54
323,Нет,Есть,-,-,-,-,-,-,152950,1995-03-27,3,600.00,13.01.2023 15:12:13
322,Нет,-,-,-,-,-,-,-,Не указано,Не указано,4,20000.00,28.12.2023 22:24:54
321,Нет,Есть,-,-,-,-,-,-,150271,1984-12-24,1,100.00,17.01.2023 02:03:23
320,Нет,-,-,-,-,-,-,-,Не указано,Не указано,10,600.00,18.01.2023 20:10:45
319,Нет,Есть,-,-,-,-,-,-,240343,1972-06-06,1,300.00,24.01.2023 18:12:01
318,Нет,-,-,-,-,-,-,-,Не указано,Не указано,8,300.00,25.01.2023 22:36:03
317,Нет,Есть,-,-,Есть,-,-,-,159692,1985-03-12,2,1000.00,30.01.2023 22:25:31
316,Нет,Есть,-,-,-,-,-,-,246004,Не указано,1,300.00,10.02.2023 20:18:40
315,Нет,Есть,-,-,Есть,-,-,-,221189,Не указано,3,100.00,10.02.2023 22:26:59
314,Нет,-,-,-,-,-,-,-,Не указано,Не указано,2,800.00,11.02.2023 00:39:14
313,Нет,Есть,-,-,-,-,-,-,149226,1979-10-27,12,6400.00,27.05.2024 12:10:30
312,Нет,-,-,-,-,-,-,-,Не указано,Не указано,7,1700.00,01.03.2023 02:15:32
311,Нет,Есть,-,-,-,-,-,-,184100,1995-01-26,2,600.00,13.03.2023 00:27:34
310,Нет,-,-,-,-,-,-,-,Не указано,Не указано,6,300.00,23.03.2023 21:57:18
309,Нет,Есть,-,-,-,-,-,-,98169,1984-12-19,7,800.00,27.03.2023 21:46:59
308,Нет,Есть,-,-,-,-,-,-,212890,1980-04-13,1,500.00,29.03.2023 01:12:01
307,Нет,Есть,-,-,-,-,-,-,189978,1998-11-22,10,700.00,30.03.2023 09:32:46
306,Нет,Есть,-,-,Есть,-,-,-,243199,1989-02-03,1,300.00,05.04.2023 17:47:16
305,Нет,Есть,-,-,-,-,-,-,136604,1995-12-10,11,800.00,17.04.2023 01:05:53
304,Нет,Есть,-,-,Есть,-,-,-,196441,Не указано,1,1000.00,20.04.2023 15:20:03
303,Да,Есть,-,-,Есть,-,-,-,72980,1987-08-16,2,1000.00,20.04.2023 15:28:41
302,Нет,Есть,Есть,-,-,-,-,-,219457,1986-03-20,1,300.00,20.04.2023 16:23:15
301,Нет,Есть,-,-,-,-,-,-,971,1995-10-31,1,500.00,20.04.2023 16:30:47
